class_index,category_id,species_name,precision,recall,f1,support,correct_predictions
235,4349,Vireo solitarius,0.2727272727272727,0.3,0.2857142857142857,10,3
236,4351,Zosterops lateralis,0.4,0.2,0.26666666666666666,10,2
237,4371,Butorides virescens,0.36363636363636365,0.4,0.38095238095238093,10,4
238,4374,Egretta garzetta,0.6666666666666666,0.8,0.7272727272727273,10,8
239,4386,Nycticorax nycticorax,0.5,0.4,0.4444444444444444,10,4
240,4422,Psilopogon haemacephalus,0.5555555555555556,0.5,0.5263157894736842,10,5
241,4462,Picus viridis,0.5,0.5,0.5,10,5
242,4506,Ara ararauna,0.6666666666666666,0.6,0.631578947368421,10,6
243,4533,Trichoglossus moluccanus,0.6666666666666666,0.8,0.7272727272727273,10,8
244,4552,Glaucidium gnoma,0.6,0.6,0.6,10,6
245,4554,Megascops choliba,0.4,0.4,0.4,10,4
246,4557,Strix aluco,0.5,0.3,0.375,10,3
247,4562,Tyto alba,0.14285714285714285,0.1,0.11764705882352941,10,1
248,4563,Struthio camelus,0.75,0.6,0.6666666666666666,10,6
249,4564,Anhinga anhinga,0.625,0.5,0.5555555555555556,10,5
250,4573,Phalacrocorax aristotelis,0.47058823529411764,0.8,0.5925925925925926,10,8
251,4616,Aepyceros melampus,0.8,0.8,0.8,10,8
252,4649,Cervus canadensis,0.8888888888888888,0.8,0.8421052631578947,10,8
253,4669,Canis familiaris,0.6,0.6,0.6,10,6
254,4673,Lycalopex culpaeus,0.7777777777777778,0.7,0.7368421052631579,10,7
255,4700,Mustela nivalis,0.45454545454545453,0.5,0.47619047619047616,10,5
256,4741,Trichosurus vulpecula,0.42857142857142855,0.3,0.35294117647058826,10,3
257,4803,Ondatra zibethicus,0.6923076923076923,0.9,0.782608695652174,10,9
258,4808,Myocastor coypus,0.875,0.7,0.7777777777777778,10,7
259,4844,Sciurus carolinensis,0.36363636363636365,0.4,0.38095238095238093,10,4
260,4861,Crocodylus acutus,0.4166666666666667,0.5,0.45454545454545453,10,5
261,4889,Charina bottae,0.6363636363636364,0.7,0.6666666666666666,10,7
262,4905,Dendrelaphis punctulatus,0.35714285714285715,0.5,0.4166666666666667,10,5
263,4915,Hypsiglena jani,0.75,0.9,0.8181818181818182,10,9
264,4920,Lampropeltis gentilis,0.9,0.9,0.9,10,9
265,4930,Masticophis mentovarius,0.6,0.6,0.6,10,6
266,4956,Regina septemvittata,0.42857142857142855,0.3,0.35294117647058826,10,3
267,4978,Cordylus niger,0.75,0.6,0.6666666666666666,10,6
268,5000,Christinus marmoratus,0.5,0.6,0.5454545454545454,10,6
269,5038,Phrynosoma hernandesi,0.5,0.8,0.6153846153846154,10,8
270,5050,Sceloporus jarrovii,0.8333333333333334,1.0,0.9090909090909091,10,10
271,5067,Tarentola mauritanica,0.6,0.6,0.6,10,6
272,5085,Trachylepis margaritifera,0.875,0.7,0.7777777777777778,10,7
273,5107,Agkistrodon contortrix,0.5,0.8,0.6153846153846154,10,8
274,5138,Clemmys guttata,1.0,0.8,0.8888888888888888,10,8
275,5139,Emydoidea blandingii,0.5714285714285714,0.8,0.6666666666666666,10,8
276,5143,Graptemys ouachitensis,0.7142857142857143,0.5,0.5882352941176471,10,5
277,5147,Pseudemys nelsoni,0.8888888888888888,0.8,0.8421052631578947,10,8
278,5155,Mauremys leprosa,0.375,0.3,0.3333333333333333,10,3
